TIPO_CONST;COLAP_TOTA;COLAP_PAR;CIMEN_AFEC;FUERA_PLOM;AGR_MUROS;AGR_MAMP;DASOBCH;OTROS;PANCARTA
tipconst_hormigo;no;no;no;poca;poca;poca;poca;poca;INSPECCIONADO
tipconst_hormigo;no;no;no;poca;poca;poca;poca;poca;INSPECCIONADO
tipconst_hormigo;no;no;no;poca;poca;poca;poca;poca;INSPECCIONADO
tipconst_hormigo;no;no;no;poca;poca;poca;poca;poca;INSPECCIONADO
tipconst_hormigo;no;si;no;poca;poca;mode;mode;poca;USO RESTRINGIDO
tipconst_refestruc;no;no;no;poca;poca;mode;poca;poca;INSPECCIONADO
tipconst_hormigo;no;si;no;poca;poca;mode;mode;poca;USO RESTRINGIDO
tipconst_hormigo;no;no;no;poca;poca;poca;poca;poca;INSPECCIONADO
tipconst_refestruc;no;no;no;poca;poca;poca;poca;poca;INSPECCIONADO
tipconst_hormigo;no;no;no;poca;poca;mode;poca;mode;INSPECCIONADO
tipconst_hormigo;no;no;no;poca;mode;mode;poca;poca;USO RESTRINGIDO
tipconst_hormigo;no;no;no;poca;poca;mode;poca;mode;INSPECCIONADO
tipconst_hormigo;no;no;no;poca;poca;poca;poca;poca;INSPECCIONADO
tipconst_hormigo;no;no;no;poca;poca;poca;poca;poca;INSPECCIONADO
tipconst_hormigo;no;no;no;poca;mode;poca;poca;poca;INSPECCIONADO
tipconst_hormigo;no;no;no;poca;poca;poca;poca;poca;INSPECCIONADO
tipconst_hormigo;no;no;si;poca;poca;poca;poca;poca;USO RESTRINGIDO
tipconst_refestruc;no;no;no;poca;mode;poca;poca;poca;INSPECCIONADO
tipconst_hormigo;no;no;no;poca;poca;poca;poca;poca;INSPECCIONADO
tipconst_hormigo;no;no;no;poca;poca;poca;poca;poca;INSPECCIONADO
tipconst_hormigo;no;no;no;poca;poca;mode;poca;mode;INSPECCIONADO
tipconst_hormigo;no;no;no;poca;poca;poca;poca;poca;INSPECCIONADO
tipconst_hormigo;no;no;no;poca;poca;poca;poca;poca;INSPECCIONADO
tipconst_estmuro;si;no;no;poca;sev;sev;mode;poca;USO RESTRINGIDO
tipconst_hormigo;no;no;no;poca;poca;poca;poca;poca;INSPECCIONADO
tipconst_hormigo;no;no;no;poca;poca;poca;poca;poca;INSPECCIONADO
tipconst_hormigo;no;no;no;poca;poca;poca;poca;poca;INSPECCIONADO
tipconst_hormigo;no;no;no;poca;poca;poca;poca;poca;INSPECCIONADO
tipconst_mixta;no;no;no;poca;mode;sev;mode;sev;USO RESTRINGIDO
tipconst_hormigo;no;no;no;poca;poca;poca;poca;poca;INSPECCIONADO
tipconst_hormigo;no;no;no;poca;poca;mode;poca;mode;INSPECCIONADO
tipconst_hormigo;no;no;no;poca;mode;mode;poca;poca;USO RESTRINGIDO
tipconst_hormigo;no;no;no;poca;poca;mode;poca;mode;INSPECCIONADO
tipconst_hormigo;no;si;no;poca;poca;sev;sev;poca;USO RESTRINGIDO
tipconst_hormigo;no;no;no;poca;poca;poca;poca;poca;INSPECCIONADO
tipconst_hormigo;no;no;no;poca;mode;poca;mode;poca;USO RESTRINGIDO
tipconst_estmad;no;si;no;mode;sev;sev;mode;sev;INSEGURO
tipconst_hormigo;no;no;no;poca;poca;poca;poca;poca;INSPECCIONADO
tipconst_hormigo;no;si;no;poca;mode;poca;mode;poca;USO RESTRINGIDO
tipconst_hormigo;no;no;no;poca;poca;poca;poca;poca;INSPECCIONADO
tipconst_hormigo;no;no;no;poca;poca;poca;poca;poca;INSPECCIONADO
tipconst_hormigo;no;no;no;poca;poca;poca;poca;poca;INSPECCIONADO
tipconst_hormigo;no;no;no;poca;mode;poca;poca;poca;USO RESTRINGIDO
tipconst_hormigo;no;no;no;poca;poca;poca;poca;poca;INSPECCIONADO
tipconst_hormigo;no;no;no;poca;sev;mode;mode;poca;INSEGURO
tipconst_hormigo;no;si;si;poca;poca;mode;mode;poca;USO RESTRINGIDO
tipconst_hormigo;no;no;no;poca;mode;mode;poca;poca;USO RESTRINGIDO
tipconst_hormigo;no;no;no;poca;poca;poca;poca;poca;INSPECCIONADO
tipconst_hormigo;no;no;no;poca;poca;poca;poca;poca;INSPECCIONADO
tipconst_hormigo;no;no;no;poca;poca;poca;poca;poca;INSPECCIONADO
tipconst_hormigo;no;no;no;poca;poca;poca;poca;poca;INSPECCIONADO
tipconst_hormigo;no;no;no;poca;poca;mode;poca;mode;INSPECCIONADO
tipconst_hormigo;no;no;no;poca;poca;poca;poca;poca;INSPECCIONADO
tipconst_hormigo;no;no;no;poca;mode;mode;poca;mode;INSPECCIONADO
tipconst_hormigo;no;si;no;poca;poca;poca;poca;poca;INSPECCIONADO
tipconst_hormigo;no;no;no;poca;poca;poca;poca;poca;INSPECCIONADO
tipconst_hormigo;no;no;no;poca;poca;poca;poca;poca;INSPECCIONADO
tipconst_hormigo;no;no;no;poca;poca;poca;poca;poca;INSPECCIONADO
tipconst_hormigo;no;no;no;poca;poca;poca;poca;poca;INSPECCIONADO
tipconst_hormigo;no;no;no;poca;poca;poca;poca;poca;INSPECCIONADO
tipconst_hormigo;no;no;no;poca;mode;poca;poca;poca;USO RESTRINGIDO
tipconst_hormigo;no;no;no;poca;poca;poca;poca;poca;INSPECCIONADO
tipconst_hormigo;no;no;no;poca;poca;poca;poca;poca;INSPECCIONADO
tipconst_hormigo;no;no;no;poca;poca;poca;poca;sev;INSPECCIONADO
tipconst_refestruc;no;no;no;poca;poca;mode;poca;poca;INSPECCIONADO
tipconst_hormigo;no;no;no;poca;poca;poca;poca;poca;INSPECCIONADO
tipconst_hormigo;no;no;no;poca;poca;poca;poca;mode;INSPECCIONADO
tipconst_estmad;si;no;si;sev;sev;sev;sev;sev;INSEGURO
tipconst_hormigo;no;no;no;poca;poca;poca;poca;poca;INSPECCIONADO
tipconst_hormigo;si;si;si;poca;poca;poca;poca;poca;INSPECCIONADO
tipconst_hormigo;no;no;no;poca;poca;poca;poca;poca;INSPECCIONADO
tipconst_refestruc;no;no;no;poca;poca;mode;poca;poca;INSPECCIONADO
tipconst_hormigo;no;no;no;poca;poca;poca;poca;poca;INSPECCIONADO
tipconst_hormigo;no;no;no;poca;mode;mode;mode;poca;USO RESTRINGIDO
tipconst_hormigo;no;no;no;poca;poca;mode;poca;poca;INSPECCIONADO
tipconst_refestruc;no;no;no;poca;poca;sev;poca;poca;USO RESTRINGIDO
tipconst_estmuro;no;no;no;poca;poca;poca;poca;poca;INSPECCIONADO
tipconst_hormigo;no;no;no;poca;poca;mode;poca;poca;INSPECCIONADO
tipconst_refestruc;no;no;no;poca;poca;poca;poca;poca;INSPECCIONADO
tipconst_hormigo;no;no;no;poca;poca;mode;mode;mode;USO RESTRINGIDO
tipconst_hormigo;no;no;no;poca;poca;poca;poca;poca;INSPECCIONADO
tipconst_hormigo;no;no;no;poca;poca;poca;poca;poca;INSPECCIONADO
tipconst_hormigo;no;no;no;mode;sev;poca;mode;sev;INSEGURO
tipconst_hormigo;no;no;no;poca;poca;poca;poca;poca;INSPECCIONADO
tipconst_hormigo;no;no;no;poca;poca;poca;poca;poca;INSPECCIONADO
tipconst_hormigo;no;si;no;poca;sev;poca;mode;poca;INSEGURO
tipconst_metalic;no;si;no;mode;poca;sev;mode;sev;USO RESTRINGIDO
tipconst_mixta;no;si;no;poca;sev;mode;sev;mode;INSEGURO
tipconst_hormigo;no;si;no;poca;poca;mode;mode;mode;USO RESTRINGIDO
tipconst_hormigo;no;no;no;poca;poca;poca;poca;poca;INSPECCIONADO
tipconst_hormigo;no;no;no;poca;poca;mode;poca;poca;INSPECCIONADO
tipconst_hormigo;no;no;no;poca;poca;poca;poca;poca;INSPECCIONADO
tipconst_hormigo;no;si;no;poca;poca;mode;mode;poca;USO RESTRINGIDO
tipconst_hormigo;no;no;no;poca;poca;poca;poca;poca;INSPECCIONADO
tipconst_hormigo;no;no;no;poca;mode;mode;poca;poca;INSPECCIONADO
tipconst_hormigo;no;no;no;poca;poca;poca;poca;poca;INSPECCIONADO
tipconst_manrest;no;no;no;poca;poca;mode;mode;poca;USO RESTRINGIDO
tipconst_hormigo;no;no;no;poca;poca;poca;poca;poca;INSPECCIONADO
tipconst_hormigo;no;no;no;poca;poca;poca;poca;poca;INSPECCIONADO
tipconst_hormigo;no;no;no;poca;poca;poca;poca;poca;INSPECCIONADO
tipconst_hormigo;no;no;no;poca;mode;poca;poca;poca;USO RESTRINGIDO
tipconst_hormigo;no;si;no;poca;poca;sev;sev;sev;INSEGURO
tipconst_hormigo;no;si;no;poca;mode;mode;poca;poca;INSEGURO
tipconst_hormigo;no;no;no;poca;poca;poca;poca;poca;INSPECCIONADO
tipconst_hormigo;no;si;no;poca;sev;mode;sev;sev;INSEGURO
tipconst_hormigo;no;si;no;poca;sev;mode;sev;sev;INSPECCIONADO
tipconst_hormigo;no;no;no;poca;sev;poca;sev;sev;INSEGURO
tipconst_hormigo;no;no;no;poca;sev;poca;sev;sev;INSEGURO
tipconst_hormigo;no;si;no;poca;sev;mode;sev;sev;INSEGURO
tipconst_hormigo;no;no;no;poca;poca;poca;poca;poca;INSPECCIONADO
tipconst_hormigo;no;si;no;mode;sev;sev;sev;poca;INSEGURO
tipconst_hormigo;no;si;no;poca;mode;mode;sev;sev;USO RESTRINGIDO
tipconst_hormigo;no;no;no;poca;poca;poca;poca;poca;INSPECCIONADO
tipconst_hormigo;no;no;no;poca;poca;poca;poca;poca;INSPECCIONADO
tipconst_hormigo;no;no;no;poca;poca;poca;poca;poca;INSPECCIONADO
tipconst_hormigo;no;no;no;poca;poca;poca;poca;poca;INSPECCIONADO
tipconst_hormigo;no;no;no;poca;poca;poca;poca;poca;INSPECCIONADO
tipconst_hormigo;no;no;no;poca;poca;poca;poca;poca;INSPECCIONADO
tipconst_mixta;no;no;no;poca;poca;poca;poca;poca;INSPECCIONADO
tipconst_hormigo;no;no;no;poca;poca;poca;poca;poca;INSPECCIONADO
tipconst_hormigo;no;no;no;poca;poca;poca;poca;poca;INSPECCIONADO
tipconst_hormigo;no;no;no;poca;poca;poca;poca;poca;INSPECCIONADO
tipconst_hormigo;no;si;no;poca;mode;mode;poca;poca;USO RESTRINGIDO
tipconst_manrest;no;no;no;poca;mode;mode;sev;mode;USO RESTRINGIDO
tipconst_hormigo;no;no;no;poca;mode;mode;poca;poca;USO RESTRINGIDO
tipconst_hormigo;no;no;no;poca;poca;poca;poca;poca;INSPECCIONADO
tipconst_hormigo;no;no;no;poca;mode;mode;poca;mode;USO RESTRINGIDO
tipconst_hormigo;no;no;no;poca;mode;mode;sev;poca;USO RESTRINGIDO
tipconst_hormigo;no;no;no;poca;poca;poca;poca;poca;INSPECCIONADO
tipconst_hormigo;no;no;no;poca;poca;poca;poca;poca;INSPECCIONADO
tipconst_hormigo;no;no;no;poca;poca;mode;mode;mode;USO RESTRINGIDO
tipconst_hormigo;no;no;no;poca;poca;poca;poca;poca;INSPECCIONADO
tipconst_hormigo;no;si;si;poca;poca;mode;mode;poca;USO RESTRINGIDO
tipconst_hormigo;no;no;no;poca;poca;poca;poca;poca;INSPECCIONADO
tipconst_hormigo;no;no;no;poca;mode;poca;poca;poca;USO RESTRINGIDO
tipconst_hormigo;no;no;no;poca;poca;poca;poca;poca;INSPECCIONADO
tipconst_hormigo;no;no;no;poca;poca;poca;poca;poca;INSPECCIONADO
tipconst_hormigo;no;no;no;poca;poca;poca;poca;poca;INSPECCIONADO
tipconst_hormigo;no;no;no;poca;mode;sev;sev;poca;USO RESTRINGIDO
tipconst_hormigo;no;si;no;poca;mode;mode;mode;poca;INSEGURO
tipconst_hormigo;no;no;no;poca;poca;poca;poca;poca;USO RESTRINGIDO
tipconst_hormigo;no;no;no;poca;poca;poca;poca;poca;INSPECCIONADO
tipconst_hormigo;no;no;no;mode;sev;poca;sev;poca;INSEGURO
tipconst_estmad;no;si;si;mode;mode;poca;mode;poca;INSEGURO
tipconst_hormigo;no;si;si;poca;poca;mode;mode;poca;INSEGURO
tipconst_hormigo;no;no;no;poca;mode;poca;poca;poca;INSPECCIONADO
tipconst_manrest;no;no;no;poca;poca;poca;poca;poca;INSPECCIONADO
tipconst_hormigo;no;no;no;poca;poca;poca;poca;poca;INSPECCIONADO
tipconst_hormigo;no;no;si;poca;mode;poca;poca;poca;INSPECCIONADO
tipconst_hormigo;no;si;no;poca;mode;sev;sev;sev;INSEGURO
tipconst_hormigo;no;no;no;poca;poca;poca;poca;poca;INSPECCIONADO
tipconst_estmad;no;si;no;mode;mode;sev;sev;mode;INSEGURO
tipconst_mixta;no;si;si;mode;mode;sev;sev;sev;INSEGURO
tipconst_estmad;no;si;no;mode;mode;sev;sev;sev;INSEGURO
tipconst_hormigo;no;si;no;mode;poca;sev;sev;mode;USO RESTRINGIDO
tipconst_hormigo;no;si;no;poca;mode;mode;sev;mode;INSEGURO
tipconst_hormigo;no;no;no;poca;poca;mode;mode;mode;USO RESTRINGIDO
tipconst_hormigo;no;no;no;poca;mode;mode;mode;poca;INSEGURO
tipconst_hormigo;no;no;no;poca;poca;poca;poca;poca;INSPECCIONADO
tipconst_hormigo;no;no;no;poca;sev;mode;sev;sev;INSEGURO
tipconst_hormigo;no;no;no;poca;sev;poca;poca;sev;INSEGURO
tipconst_hormigo;no;si;no;poca;mode;mode;mode;poca;USO RESTRINGIDO
tipconst_hormigo;no;no;no;poca;sev;poca;mode;mode;INSEGURO
tipconst_hormigo;no;no;no;poca;poca;poca;poca;poca;INSPECCIONADO
tipconst_hormigo;no;si;si;sev;sev;poca;sev;poca;INSEGURO
tipconst_mixta;no;si;no;mode;poca;poca;mode;poca;USO RESTRINGIDO
tipconst_hormigo;no;no;no;poca;poca;poca;poca;poca;USO RESTRINGIDO
tipconst_hormigo;no;si;no;poca;sev;poca;mode;mode;INSEGURO
tipconst_mixta;no;si;no;mode;mode;mode;sev;sev;INSEGURO
tipconst_hormigo;no;no;no;poca;poca;poca;poca;poca;INSPECCIONADO
tipconst_mixta;no;si;no;poca;poca;sev;sev;sev;INSEGURO
tipconst_mixta;no;no;no;mode;mode;mode;sev;mode;USO RESTRINGIDO
tipconst_hormigo;no;si;no;mode;sev;sev;sev;mode;INSEGURO
tipconst_hormigo;no;no;no;poca;poca;poca;poca;poca;INSPECCIONADO
tipconst_hormigo;no;no;no;poca;mode;mode;mode;sev;INSEGURO
tipconst_hormigo;no;si;no;poca;mode;mode;sev;mode;INSEGURO
tipconst_hormigo;no;no;si;poca;poca;mode;mode;poca;USO RESTRINGIDO
tipconst_hormigo;si;si;no;sev;sev;sev;sev;sev;INSEGURO
tipconst_hormigo;no;no;no;poca;poca;poca;poca;poca;INSPECCIONADO
tipconst_hormigo;no;no;no;poca;poca;poca;poca;poca;INSPECCIONADO
tipconst_hormigo;no;no;no;poca;sev;mode;sev;sev;INSEGURO
tipconst_hormigo;no;si;no;poca;mode;mode;mode;mode;INSEGURO
tipconst_hormigo;no;no;no;poca;mode;sev;sev;sev;USO RESTRINGIDO
tipconst_hormigo;no;no;no;poca;poca;mode;poca;mode;INSPECCIONADO
tipconst_hormigo;no;si;no;poca;mode;mode;mode;poca;USO RESTRINGIDO
tipconst_hormigo;no;no;no;poca;mode;poca;poca;mode;USO RESTRINGIDO
tipconst_hormigo;no;no;no;poca;poca;poca;poca;poca;INSPECCIONADO
tipconst_hormigo;no;si;no;poca;mode;mode;mode;poca;USO RESTRINGIDO
tipconst_hormigo;no;si;no;poca;mode;mode;mode;mode;USO RESTRINGIDO
tipconst_manrest;no;no;no;poca;poca;poca;poca;poca;INSPECCIONADO
tipconst_hormigo;no;si;no;poca;sev;mode;mode;sev;INSEGURO
tipconst_hormigo;no;si;no;poca;poca;mode;mode;sev;USO RESTRINGIDO
tipconst_hormigo;no;no;no;poca;poca;poca;poca;poca;INSPECCIONADO
tipconst_hormigo;no;no;no;poca;poca;poca;poca;poca;INSPECCIONADO
tipconst_hormigo;no;no;no;poca;mode;poca;mode;mode;USO RESTRINGIDO
tipconst_hormigo;no;si;no;poca;mode;mode;mode;poca;USO RESTRINGIDO
tipconst_hormigo;no;si;si;mode;mode;mode;sev;sev;INSEGURO
tipconst_hormigo;no;no;no;poca;poca;mode;mode;mode;USO RESTRINGIDO
tipconst_hormigo;no;no;no;poca;mode;mode;mode;poca;USO RESTRINGIDO
tipconst_hormigo;no;no;no;poca;poca;mode;poca;poca;INSPECCIONADO
tipconst_hormigo;no;no;no;poca;poca;poca;poca;poca;INSPECCIONADO
tipconst_hormigo;no;no;no;poca;mode;poca;poca;poca;USO RESTRINGIDO
tipconst_hormigo;no;no;no;poca;poca;poca;poca;poca;INSPECCIONADO
tipconst_hormigo;no;no;no;poca;poca;poca;poca;poca;INSPECCIONADO
tipconst_hormigo;no;no;no;poca;mode;poca;poca;poca;USO RESTRINGIDO
tipconst_hormigo;no;no;no;poca;mode;poca;poca;poca;USO RESTRINGIDO
tipconst_hormigo;no;no;no;poca;mode;poca;poca;poca;USO RESTRINGIDO
tipconst_hormigo;no;no;no;poca;poca;mode;poca;poca;INSPECCIONADO
tipconst_hormigo;no;no;no;poca;mode;poca;mode;poca;USO RESTRINGIDO
tipconst_hormigo;no;no;no;poca;poca;poca;poca;poca;INSPECCIONADO
tipconst_hormigo;no;no;no;poca;poca;poca;poca;poca;INSPECCIONADO
tipconst_hormigo;no;no;no;poca;poca;poca;poca;poca;INSPECCIONADO
tipconst_hormigo;no;no;si;poca;mode;mode;mode;poca;USO RESTRINGIDO
tipconst_hormigo;no;no;no;poca;poca;poca;poca;poca;INSPECCIONADO
tipconst_hormigo;no;no;no;poca;poca;poca;poca;poca;INSPECCIONADO
tipconst_hormigo;no;no;no;poca;poca;poca;poca;poca;INSPECCIONADO
tipconst_metalic;no;no;no;poca;poca;poca;poca;poca;INSPECCIONADO
tipconst_hormigo;no;no;no;poca;poca;poca;poca;poca;INSPECCIONADO
tipconst_hormigo;no;no;no;poca;poca;poca;poca;poca;INSPECCIONADO
tipconst_hormigo;no;no;no;poca;poca;sev;sev;poca;USO RESTRINGIDO
tipconst_hormigo;no;no;no;poca;poca;mode;poca;poca;INSPECCIONADO
tipconst_hormigo;no;no;no;poca;poca;poca;poca;poca;INSPECCIONADO
tipconst_hormigo;no;no;no;poca;poca;poca;poca;poca;INSPECCIONADO
tipconst_hormigo;no;no;no;poca;poca;poca;poca;poca;INSPECCIONADO
tipconst_hormigo;no;no;no;poca;poca;mode;mode;poca;USO RESTRINGIDO
tipconst_hormigo;no;no;si;poca;mode;sev;mode;sev;INSEGURO
tipconst_hormigo;no;no;no;poca;mode;mode;poca;mode;USO RESTRINGIDO
tipconst_hormigo;no;no;no;poca;poca;poca;poca;poca;INSPECCIONADO
tipconst_hormigo;no;si;no;poca;poca;mode;mode;poca;USO RESTRINGIDO
tipconst_hormigo;no;no;no;poca;poca;mode;poca;poca;INSPECCIONADO
tipconst_mixta;no;si;no;poca;mode;mode;mode;sev;INSEGURO
tipconst_estmad;no;no;no;poca;poca;mode;poca;poca;INSPECCIONADO
tipconst_hormigo;no;no;no;poca;poca;poca;poca;poca;INSPECCIONADO
tipconst_hormigo;no;no;no;poca;poca;mode;poca;poca;USO RESTRINGIDO
tipconst_hormigo;no;no;si;poca;poca;mode;mode;sev;INSEGURO
tipconst_hormigo;no;si;no;poca;sev;poca;mode;sev;INSEGURO
tipconst_hormigo;no;si;si;poca;mode;sev;mode;sev;INSEGURO
tipconst_hormigo;no;no;no;poca;poca;mode;mode;mode;USO RESTRINGIDO
tipconst_hormigo;no;si;no;poca;mode;mode;mode;mode;USO RESTRINGIDO
tipconst_mixta;no;si;si;sev;sev;mode;sev;sev;INSEGURO
tipconst_hormigo;no;si;si;poca;poca;sev;mode;sev;INSEGURO
tipconst_hormigo;si;si;si;sev;sev;sev;sev;sev;INSEGURO
tipconst_estmuro;no;no;no;poca;poca;mode;mode;mode;USO RESTRINGIDO
tipconst_hormigo;no;no;no;poca;poca;poca;poca;poca;INSPECCIONADO
tipconst_estmad;no;si;si;poca;mode;mode;mode;sev;INSEGURO
tipconst_hormigo;no;no;no;poca;poca;poca;poca;sev;INSPECCIONADO
tipconst_hormigo;no;no;no;poca;poca;poca;poca;poca;INSPECCIONADO
tipconst_hormigo;no;no;no;poca;poca;poca;mode;mode;USO RESTRINGIDO
tipconst_hormigo;no;si;no;poca;poca;mode;poca;poca;USO RESTRINGIDO
tipconst_estmad;no;si;no;poca;mode;mode;poca;sev;INSEGURO
tipconst_hormigo;no;no;no;poca;poca;poca;poca;poca;INSPECCIONADO
tipconst_mixta;no;no;no;poca;mode;mode;poca;mode;INSPECCIONADO
tipconst_hormigo;no;no;no;poca;poca;poca;poca;poca;INSPECCIONADO
tipconst_hormigo;no;no;no;poca;poca;sev;mode;poca;USO RESTRINGIDO
tipconst_hormigo;no;no;no;poca;poca;poca;poca;poca;INSPECCIONADO
tipconst_hormigo;no;no;si;poca;poca;poca;poca;sev;INSEGURO
tipconst_estmuro;no;no;no;poca;poca;mode;mode;poca;USO RESTRINGIDO
tipconst_hormigo;no;si;si;poca;poca;sev;mode;sev;USO RESTRINGIDO
tipconst_estmuro;no;no;si;poca;sev;sev;mode;sev;INSEGURO
tipconst_hormigo;no;no;no;poca;poca;sev;poca;poca;USO RESTRINGIDO
tipconst_hormigo;no;no;no;poca;poca;sev;poca;poca;USO RESTRINGIDO
tipconst_hormigo;no;no;no;poca;poca;sev;poca;poca;USO RESTRINGIDO
tipconst_hormigo;no;no;no;poca;poca;sev;poca;poca;USO RESTRINGIDO
tipconst_hormigo;no;no;no;poca;mode;mode;mode;poca;USO RESTRINGIDO
tipconst_hormigo;no;no;no;poca;poca;mode;poca;poca;USO RESTRINGIDO
tipconst_hormigo;no;si;no;poca;poca;sev;poca;poca;USO RESTRINGIDO
tipconst_hormigo;no;no;no;poca;poca;poca;poca;poca;INSPECCIONADO
tipconst_hormigo;no;si;no;poca;poca;mode;mode;sev;USO RESTRINGIDO
tipconst_hormigo;no;no;si;poca;poca;poca;poca;sev;USO RESTRINGIDO
tipconst_estmuro;no;no;no;poca;poca;mode;sev;poca;USO RESTRINGIDO
tipconst_hormigo;no;si;no;poca;poca;mode;poca;mode;USO RESTRINGIDO
tipconst_hormigo;no;no;no;poca;poca;poca;poca;mode;USO RESTRINGIDO
tipconst_hormigo;no;no;no;poca;poca;poca;poca;poca;INSPECCIONADO
tipconst_hormigo;no;no;no;poca;poca;poca;poca;poca;INSPECCIONADO
tipconst_hormigo;no;no;no;poca;poca;mode;poca;mode;USO RESTRINGIDO
tipconst_hormigo;no;no;no;poca;poca;poca;poca;poca;INSPECCIONADO
tipconst_hormigo;no;no;no;poca;poca;mode;poca;mode;USO RESTRINGIDO
tipconst_estmad;no;no;no;poca;mode;sev;mode;sev;USO RESTRINGIDO
tipconst_hormigo;no;si;no;poca;sev;sev;poca;sev;INSEGURO
tipconst_hormigo;no;no;si;poca;mode;mode;mode;poca;USO RESTRINGIDO
tipconst_mixta;no;no;no;poca;poca;poca;poca;poca;INSPECCIONADO
tipconst_hormigo;no;no;no;poca;poca;poca;poca;poca;INSPECCIONADO
tipconst_hormigo;no;no;no;poca;poca;poca;poca;mode;INSPECCIONADO
tipconst_hormigo;no;no;no;poca;poca;mode;poca;poca;INSPECCIONADO
tipconst_estmuro;no;si;no;poca;poca;mode;poca;sev;USO RESTRINGIDO
tipconst_hormigo;no;no;no;poca;poca;poca;poca;poca;USO RESTRINGIDO
tipconst_hormigo;no;no;no;poca;poca;poca;poca;poca;INSPECCIONADO
tipconst_hormigo;no;no;no;poca;poca;poca;poca;poca;INSPECCIONADO
tipconst_hormigo;no;si;si;sev;sev;sev;sev;sev;INSEGURO
tipconst_hormigo;no;si;si;poca;mode;sev;sev;mode;INSEGURO
tipconst_hormigo;no;si;no;poca;poca;sev;sev;poca;USO RESTRINGIDO
tipconst_hormigo;no;no;no;poca;poca;poca;poca;poca;INSPECCIONADO
tipconst_hormigo;no;si;no;poca;poca;sev;mode;mode;USO RESTRINGIDO
tipconst_hormigo;no;no;no;sev;mode;mode;mode;poca;INSEGURO
tipconst_hormigo;no;no;no;poca;poca;poca;poca;poca;INSPECCIONADO
tipconst_hormigo;no;no;si;mode;poca;mode;mode;mode;INSEGURO
tipconst_hormigo;no;no;no;poca;poca;poca;poca;poca;INSPECCIONADO
tipconst_hormigo;no;si;no;poca;poca;sev;mode;poca;USO RESTRINGIDO
tipconst_hormigo;no;si;no;poca;poca;sev;poca;poca;USO RESTRINGIDO
tipconst_hormigo;no;no;no;poca;mode;sev;poca;poca;USO RESTRINGIDO
tipconst_hormigo;no;si;si;poca;poca;sev;poca;poca;USO RESTRINGIDO
tipconst_mixta;si;si;si;poca;mode;sev;poca;poca;INSEGURO
tipconst_hormigo;no;si;no;poca;poca;mode;poca;poca;USO RESTRINGIDO
tipconst_mixta;no;si;no;poca;poca;mode;mode;mode;USO RESTRINGIDO
tipconst_mixta;no;si;no;poca;poca;mode;mode;poca;USO RESTRINGIDO
tipconst_mixta;no;no;si;poca;poca;mode;mode;mode;INSEGURO
tipconst_mixta;no;no;si;poca;poca;mode;mode;poca;INSEGURO
tipconst_mixta;no;no;si;poca;poca;mode;mode;poca;INSEGURO
tipconst_mixta;no;no;no;poca;mode;mode;poca;poca;USO RESTRINGIDO
tipconst_estmad;no;si;si;poca;sev;sev;mode;mode;INSEGURO
tipconst_hormigo;no;no;no;poca;sev;mode;mode;poca;USO RESTRINGIDO
tipconst_hormigo;no;no;no;poca;poca;mode;mode;mode;USO RESTRINGIDO
tipconst_hormigo;no;no;no;poca;mode;mode;mode;poca;USO RESTRINGIDO
tipconst_hormigo;no;no;no;poca;poca;mode;mode;poca;USO RESTRINGIDO
tipconst_hormigo;no;no;no;poca;poca;mode;poca;poca;INSPECCIONADO
tipconst_hormigo;no;no;no;poca;poca;mode;poca;poca;INSPECCIONADO
tipconst_hormigo;no;no;no;poca;poca;mode;poca;poca;INSPECCIONADO
tipconst_hormigo;no;no;no;poca;mode;sev;mode;mode;USO RESTRINGIDO
tipconst_hormigo;si;no;si;mode;mode;sev;mode;mode;INSEGURO
tipconst_hormigo;no;no;no;poca;poca;mode;poca;poca;INSPECCIONADO
tipconst_hormigo;no;no;no;poca;poca;mode;poca;poca;INSPECCIONADO
tipconst_hormigo;no;no;no;poca;poca;mode;poca;poca;USO RESTRINGIDO
tipconst_hormigo;no;no;no;poca;mode;sev;mode;poca;USO RESTRINGIDO
tipconst_hormigo;no;no;no;poca;poca;mode;poca;poca;INSPECCIONADO
tipconst_hormigo;no;no;no;poca;poca;mode;poca;poca;INSPECCIONADO
tipconst_hormigo;no;no;no;poca;poca;mode;poca;poca;INSPECCIONADO
tipconst_hormigo;no;no;no;poca;poca;mode;poca;poca;INSPECCIONADO
tipconst_hormigo;no;si;si;poca;sev;sev;mode;poca;INSEGURO
tipconst_hormigo;no;no;no;poca;poca;mode;poca;poca;INSPECCIONADO
tipconst_hormigo;no;no;no;poca;poca;mode;poca;poca;INSPECCIONADO
tipconst_hormigo;no;no;no;poca;poca;mode;mode;poca;USO RESTRINGIDO
tipconst_hormigo;no;no;no;poca;poca;mode;poca;poca;INSPECCIONADO
tipconst_hormigo;no;no;no;poca;poca;mode;poca;poca;INSEGURO
tipconst_hormigo;no;no;no;poca;mode;sev;mode;poca;USO RESTRINGIDO
tipconst_hormigo;no;no;no;poca;poca;mode;poca;poca;INSPECCIONADO
tipconst_mixta;no;si;si;poca;sev;sev;sev;sev;INSEGURO
tipconst_estmuro;no;no;no;poca;poca;poca;poca;poca;INSPECCIONADO
tipconst_estmuro;no;no;no;poca;poca;mode;mode;poca;INSPECCIONADO
tipconst_hormigo;no;no;si;poca;mode;sev;mode;mode;USO RESTRINGIDO
